gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
21800181,11/10/18,regular,1610612760,OKC,DAL,OKC,48,96,38,97,39.2,9,34,26.5,11,18,61.1,26,27,53,17,16,9,2,19,-15,0,2019
21800182,11/10/18,regular,1610612751,BKN,GSW,BKN,48,100,36,77,46.8,7,24,29.2,21,29,72.4,12,29,41,20,15,7,2,22,-16,0,2019
21800182,11/10/18,regular,1610612744,GSW,GSW,BKN,48,116,46,83,55.4,7,16,43.8,17,21,81,6,30,36,27,10,9,7,24,16,1,2019
21800183,11/10/18,regular,1610612747,LAL,SAC,LAL,48,101,41,99,41.4,12,38,31.6,7,17,41.2,17,42,59,23,16,11,3,20,15,1,2019
21800183,11/10/18,regular,1610612758,SAC,SAC,LAL,48,86,32,92,34.8,6,25,24,16,20,80,13,37,50,11,19,7,5,20,-15,0,2019
21800184,11/11/18,regular,1610612766,CHA,DET,CHA,48,113,43,85,50.6,11,28,39.3,16,18,88.9,6,40,46,24,12,6,8,26,10,1,2019
21800184,11/11/18,regular,1610612765,DET,DET,CHA,48,103,38,104,36.5,12,44,27.3,15,19,78.9,22,29,51,21,10,5,4,18,-10,0,2019
21800185,11/11/18,regular,1610612745,HOU,HOU,IND,48,115,36,74,48.6,20,47,42.6,23,32,71.9,8,30,38,18,17,6,5,22,12,1,2019
21800185,11/11/18,regular,1610612754,IND,HOU,IND,48,103,36,78,46.2,11,29,37.9,20,26,76.9,5,30,35,24,13,10,6,22,-12,0,2019
21800186,11/11/18,regular,1610612752,NYK,NYK,ORL,48,89,31,88,35.2,5,28,17.9,22,30,73.3,13,41,54,13,19,4,15,21,-26,0,2019
21800186,11/11/18,regular,1610612753,ORL,NYK,ORL,48,115,44,98,44.9,17,42,40.5,10,11,90.9,10,42,52,31,11,10,9,21,26,1,2019
21800187,11/11/18,regular,1610612743,DEN,DEN,MIL,48,114,41,89,46.1,18,38,47.4,14,20,70,10,29,39,27,10,8,5,16,-7,0,2019
21800187,11/11/18,regular,1610612749,MIL,DEN,MIL,48,121,48,84,57.1,17,34,50,8,13,61.5,5,36,41,27,13,10,7,17,7,1,2019
